date,bubble_proxy,breakdown_proxy,market_heat_proxy,market_breakdown_proxy,liquidity_stress_proxy,semiconductor_strength_proxy,tsmc_3m_yoy,ndx_close,ndx_dd,ndx_dist200,sox_dd,sox_dist200,vix,baa10y_proxy,dfii10,event_bucket
2013-12-31,50.73640251675093,41.68063123656322,55.42415726755705,54.01095611716946,15.787717096677042,40.75,12.6,3592.0,-23.651303796140166,14.939488894450337,-59.85458141275599,12.203672375325159,13.72,2.33,0.8,Normal/control
2014-01-31,45.1889848944866,45.7682620344343,48.120805517531146,55.00000000000001,27.152177241240842,42.425,13.94,3521.919921875,-25.140870220056755,9.925349279358798,-60.29353279126675,8.463115979832402,18.41,2.4,0.53,Normal/control
2014-02-28,53.025829231163954,39.77125963332985,56.807783855327365,52.38833224860523,16.40431463273569,47.725,18.18,3696.10009765625,-21.43863488446167,12.944834023514318,-57.693604454554816,13.255789152117913,14.0,2.35,0.49,Normal/control
2014-03-31,44.81563080300669,41.967009647267126,48.53737298507956,53.95266032726028,16.002321428571424,39.5625,11.65,3595.739990234375,-23.571809537173106,7.554252138482576,-55.97457858432765,15.241589049622938,13.88,2.26,0.6,Normal/control
2014-04-30,41.95551841785685,40.55608754208481,43.30025285711392,54.16651557274147,15.660444383860419,46.5,17.2,3582.02001953125,-23.86343032646563,5.154691769614739,-56.782695734019285,10.657405565700962,13.41,2.16,0.49,Normal/control
2014-05-31,45.23854695925636,38.97078171863935,47.942549903348365,51.753623944984724,14.983288409703507,47.8125,18.25,3736.820068359375,-20.573123561342797,7.943825178670938,-55.0103895280738,12.863569498242256,11.4,2.22,0.26,Normal/control
2014-06-30,47.871464315856386,38.52563156726378,49.94185368444077,49.99757696198706,15.369205526770298,46.762499999999996,17.41,3849.47998046875,-18.178514039073256,8.948979744189245,-52.28365820568464,16.105038213750824,11.57,2.18,0.27,Normal/control
2014-07-31,43.02995136558803,42.1106603948015,44.16440665787002,49.32701745158189,26.767150118827562,47.275,17.82,3892.5,-17.26411470670256,7.779275476039382,-54.41312218553978,7.815872383197631,16.95,2.17,0.29,Normal/control
2014-08-31,50.05132062166146,35.56253523838989,52.13525194304107,46.36452275197754,13.902857142857142,50.837500000000006,20.67,4082.56005859375,-13.224349207242092,11.032294958866661,-51.584341205181595,11.96703309322742,11.98,2.23,0.23,Normal/control
2014-09-30,47.04479642427842,38.25065173778685,46.237285829219026,46.88061497285966,26.576785714285716,60.7375,28.59,4049.449951171875,-13.928111326626802,8.21044579342416,-52.09232253902003,8.097891819228376,16.31,2.29,0.55,Normal/control
2014-10-31,49.46299479646065,32.609927970918605,46.904614441989104,45.18535635385502,19.768621747668142,73.2125,38.57,4158.2099609375,-11.616395027984117,9.710139559747887,-51.91374136221065,6.979757023096078,14.03,2.39,0.43,Normal/control
2014-11-30,57.72158060889198,28.776364445703596,54.52039247126738,42.3862146849734,20.857336678473047,87.9875,50.39,4337.7900390625,-7.799383661327363,12.55414049853929,-48.54621714196109,12.353299570587971,13.33,2.52,0.39,Normal/control
2014-12-31,50.86400593835578,32.43827660193184,45.15139770382657,43.968470269749105,30.871328515842134,90.7625,52.61,4236.27978515625,-9.95700491329423,8.141838962479175,-48.46142840760584,10.153186488281696,19.2,2.51,0.49,Normal/control
2015-01-31,46.985100053029655,31.183953213250646,37.48887698683266,45.33779533500144,28.941272321428574,96.7375,57.39,4148.43017578125,-11.82426636591105,4.299375598028732,-50.992322209280985,3.23317146976716,20.97,2.61,0.03,Normal/control
2015-02-28,53.17724465413934,26.75392471986045,49.79635940199947,40.782610488578776,15.590714285714286,85.275,48.22,4440.669921875,-5.612650666243779,9.618828384699206,-46.37698296824503,11.028480423230281,13.34,2.46,0.17,Normal/control
2015-03-31,47.404589165195446,30.0785694744153,40.160071243624905,42.45012352339203,24.08146825396825,87.2625,49.81,4333.68994140625,-7.88653207735276,5.031353213872869,-47.81538716311202,6.043669177750943,15.29,2.55,0.18,Normal/control
2015-04-30,44.48142330832518,33.07222052649435,41.53866914378851,41.19442178179713,21.88494492767326,65.625,32.5,4414.25,-6.174211520632444,5.46778925779734,-48.50494938322309,3.631524685708354,14.55,2.6,0.11,Normal/control
2015-05-31,45.095848396417885,34.66766537154853,45.66682003368464,39.72922965346026,23.784320078546884,57.675,26.14,4508.25,-4.17622225471852,6.30995367131193,-44.06894239128961,11.049372596555319,13.84,2.72,0.32,Normal/control
2015-06-30,32.20109722266468,42.38093226799873,33.03525159960043,43.141548922643864,31.51352929373997,40.3125,12.25,4396.759765625,-6.545970037010829,2.5453312710015163,-48.93639461851206,0.0949159357946261,18.23,2.83,0.48,Normal/control
2015-07-31,34.27161803048718,39.2063269291404,34.70314026144315,45.19294873142311,20.655714285714286,41.8,13.44,4588.91015625,-2.4617741017989414,5.621332128339862,-51.50630754175505,-5.5128434562796595,12.12,2.94,0.46,Normal/control
2015-08-31,24.41195597422357,56.55373227408749,25.857791366046555,53.87079394241665,54.38392857142857,33.6125,6.89,4274.580078125,-9.142924336348257,-2.4880117243642585,-54.151254418961315,-10.681739161862659,28.43,3.15,0.58,Normal/control
2015-09-30,23.461927488555187,52.375339199704364,26.8308287258818,56.59019822156525,35.206428571428575,27.0625,1.65,4181.06005859375,-11.130711519023773,-4.608457259572585,-54.77478639320796,-10.967916197914873,24.5,3.29,0.65,Normal/control
2015-10-31,36.24436208535416,39.359831594958905,46.188903451849654,33.34545909990867,23.05535714285714,18.575,-5.14,4648.830078125,-1.1881638813664774,5.444297362901929,-50.28850335472852,-1.5905942293762632,15.07,3.19,0.63,Normal/control
2015-11-30,35.624767452117275,39.674847898921065,48.01158272840405,28.24553846298613,28.483873115935165,15.024999999999999,-7.98,4664.509765625,-1.15574196755297,4.795820815836871,-49.19150731416182,0.7541627896059389,16.13,3.2,0.62,Normal/control
2015-12-31,33.966255485278424,41.464380085632726,45.41722721646876,28.376202725388183,33.02882531202299,14.325000000000001,-8.54,4593.27001953125,-2.665362527670534,2.6377976246384938,-50.21647368993758,-0.6146307125957873,18.21,3.23,0.73,Normal/control
